name;index;industry;sector;pca_0;pca_1;pca_2
LOTTE Fine Chemical Co., Ltd.;004000;Chemicals;Basic Materials;0.2097162082311287;-0.16948602878479652;-0.028714664464661532
Sungshin Cement Co., Ltd;004980;Building Materials;Basic Materials;0.07557673885943872;0.36000984534669445;0.08409378326076053
SKC Co., Ltd.;011790;Specialty Chemicals;Basic Materials;0.12509459920235727;-0.11852616434654202;-0.22913297318931483
Hansol Technics Co., Ltd.;004710;Electronic Components;Technology;0.008271495150369124;0.2547160675452227;-0.23464805358206023
Sajo Industries Company Limited;007160;Packaged Foods;Consumer Defensive;0.15283384732052674;0.07603094605022917;-0.06635751771675841
Samchully Co.,Ltd;004690;Utilities - Regulated Gas;Utilities;0.2704114178292839;-0.1802621943797658;0.3262322615738696
Gwangju Shinsegae. Co. ,Ltd.;037710;Department Stores;Consumer Cyclical;0.2710607994584934;-0.32000314802134844;0.007766297193227448
Sjg Sejong Co.,Ltd;033530;Auto Parts;Consumer Cyclical;0.13179581646288951;-0.05662784699482812;-0.09917878528893326
SGC Energy Co.,Ltd.;005090;Engineering & Construction;Industrials;0.20560685169068837;-0.15305664650390433;0.1935892041198773
Husteel Co., Ltd.;005010;Steel;Basic Materials;0.2752518879072262;-0.27952513043379734;-0.022381301678627848
Daewoong Pharmaceutical Co., Ltd;069620;Drug Manufacturers - Specialty & Generic;Healthcare;0.1542288823542436;0.05023829087502854;0.0007916620634994473
Doosan Enerbility Co., Ltd.;034020;Specialty Industrial Machinery;Industrials;0.18048528269853648;0.06422315775549556;-0.22013850993132233
Hanexpress.Co., Ltd;014130;Integrated Freight & Logistics;Industrials;0.11363324933247432;0.24601876370279438;-0.06450958087982106
Mirae Corporation;025560;Semiconductor Equipment & Materials;Technology;0.13934829152519435;0.1425131095835295;0.1397877130121112
GAON CABLE Co., Ltd.;000500;Communication Equipment;Technology;0.27137594886339766;-0.14701041284468291;0.09098027059808828
KT&G Corporation;033780;Tobacco;Consumer Defensive;0.2837674052408604;-0.18418634679660198;0.2989296958790357
CKD Bio Corp.;063160;Drug Manufacturers - Specialty & Generic;Healthcare;0.07510268720859181;0.10462665288660991;-0.14551348145776344
Hanyang Securities Co. Ltd.;001750;Capital Markets;Financial Services;0.37140005087279526;-0.3978270767557902;0.03279823056413151
